dataset_name,metric,best_method
ecg200,F1,InceptionTime
ecg200,MCC,ROCKET
distalphalanxoutlinecorrect,TrainTime,HIVE-COTE v1.0
distalphalanxoutlinecorrect,NLL,Catch22
distalphalanxoutlinecorrect,BALACC,BOSS
distalphalanxoutlinecorrect,Prec,cBOSS
distalphalanxoutlinecorrect,AUROC,STC
distalphalanxoutlinecorrect,ACC,S-BOSS
distalphalanxoutlinecorrect,Recall,cBOSS
distalphalanxoutlinecorrect,F1,cBOSS
distalphalanxoutlinecorrect,MCC,HIVE-COTE v1.0
proximalphalanxtw,TrainTime,ResNet
proximalphalanxtw,NLL,Catch22
proximalphalanxtw,BALACC,ROCKET
proximalphalanxtw,Prec,HIVE-COTE v1.0
proximalphalanxtw,AUROC,InceptionTime
proximalphalanxtw,ACC,ROCKET
proximalphalanxtw,Recall,STC
proximalphalanxtw,F1,TSF
proximalphalanxtw,MCC,TS-CHIEF
strawberry,TrainTime,HIVE-COTE v1.0
strawberry,NLL,RISE
strawberry,BALACC,Catch22
strawberry,Prec,ROCKET
strawberry,AUROC,ROCKET
strawberry,ACC,Catch22
strawberry,Recall,Catch22
strawberry,F1,Catch22
strawberry,MCC,Catch22
housetwenty,TrainTime,ROCKET
housetwenty,NLL,ROCKET
housetwenty,BALACC,TS-CHIEF
housetwenty,Prec,InceptionTime
housetwenty,AUROC,HIVE-COTE v1.0
housetwenty,ACC,ProximityForest
housetwenty,Recall,HIVE-COTE v1.0
housetwenty,F1,BOSS
housetwenty,MCC,TS-CHIEF
plane,TrainTime,WEASEL
plane,NLL,ResNet
plane,BALACC,ROCKET
plane,Prec,STC
plane,AUROC,TS-CHIEF
plane,ACC,InceptionTime
plane,Recall,InceptionTime
plane,F1,ROCKET
plane,MCC,TS-CHIEF
toesegmentation2,TrainTime,ProximityForest
toesegmentation2,NLL,Catch22
toesegmentation2,BALACC,InceptionTime
toesegmentation2,Prec,ResNet
toesegmentation2,AUROC,RISE
toesegmentation2,ACC,ROCKET
toesegmentation2,Recall,cBOSS
toesegmentation2,F1,STC
toesegmentation2,MCC,WEASEL
freezerregulartrain,TrainTime,ROCKET
freezerregulartrain,NLL,TSF
freezerregulartrain,BALACC,TSF
freezerregulartrain,Prec,RISE
freezerregulartrain,AUROC,TS-CHIEF
freezerregulartrain,ACC,RISE
freezerregulartrain,Recall,WEASEL
freezerregulartrain,F1,TSF
freezerregulartrain,MCC,ProximityForest
cbf,TrainTime,WEASEL
